U:0,U:1,U:2,Points:0,Points:1,Points:2
4.7161,-0.286,0.017947,-2.5115,0.52591,1.398
3.8904,-0.0058996,0.10587,-1.2559,3.4671,2.2611
3.7979,0.010818,-0.0049384,0.83746,2.4892,2.2616
2.4085,-0.3271,0.10256,-1.6764,0.24334,2.687
2.9322,0.16591,0.083265,-1.1176,6.096,0.9779
3.9351,0.056555,0.15155,2.2124,4.7348,-1.2605
3.9316,-0.019126,0.014683,0.97079,3.8867,-0.705
3.9887,-0.0072179,-0.0074279,1.3843,3.3272,0.14068
3.6418,-0.0010639,-0.0037592,0.6985,0.38818,-2.6837
3.7279,-0.099394,-0.044148,-0.55622,1.6493,-0.84532
2.9678,0.28923,-0.11767,-1.5367,5.708,-2.6837
3.524,0.0010631,0.16015,2.0951,3.048,-2.5413
4.1371,0.44631,-0.029102,-2.4926,2.7659,-1.6797
3.913,-0.12386,-0.031127,-0.5584,0.53019,-0.55954
3.5068,0.092367,0.36516,-2.3804,3.886,2.683
3.9214,-0.049484,-0.056745,1.3872,4.0259,1.1268
3.8695,-0.0043998,0.0011277,0.69572,4.0265,1.413
4.8217,0.92884,-0.3998,2.9424,3.2955,1.8165
3.1437,0.23911,-0.35653,2.4808,4.6018,2.1025
1.8863,0.34725,-0.50962,2.6564,4.5958,2.6822
3.8674,0.12179,-0.10353,1.8097,0.94699,1.2617
3.7155,-0.035379,0.042163,0.27935,0.39043,1.8209
4.2055,0.070165,0.010096,-1.2468,3.8863,0.42224
4.0616,-0.17085,-0.033315,-1.8019,1.7909,-1.4058
3.698,-0.059811,0.060506,-5.3636E-09,0.25072,1.5379
3.669,-0.021363,0.03378,4.4409E-16,2.2098,2.794
3.7119,-0.47941,-0.0028307,-2.6426,0.25501,-0.1397
3.141,0.3584,0.12754,2.238,0.38829,-2.6838
4.4663,-0.11315,0.069502,-2.2242,5.0136,1.8249
3.9085,-0.0085889,0.036191,1.1111,3.3274,-1.2708
3.7818,0.02193,-0.022496,0.41888,5.5657,-1.2599
3.8625,0.014215,0.0061989,0.41819,5.1464,0.28037
5.0418,0.055922,-0.32694,2.7901,5.0162,1.6777
3.7474,-0.01251,0.005184,0.69788,4.7252,2.1186
3.9082,0.012228,0.036147,1.1111,2.6289,-1.2708
4.177,0.029178,-0.010558,-1.2465,3.6067,-0.42241
5,0,0,-3.048,2.07,0.5588
3.7649,-0.021502,0.021185,0.97728,5.5659,-1.2598
3.9331,5.3509E-06,0.006414,0.83151,3.048,-0.56469
3.8964,-0.051575,-0.02287,1.2494,4.587,0.56196
3.8238,-0.013791,-0.005052,0.83717,5.4261,0.55988
3.7357,0.033776,0.015528,1.1173,1.7906,-2.5426
4.5464,0.70554,-0.013098,-2.6309,2.7638,-1.9591
3.4877,-0.26533,-0.059222,-1.5365,0.25055,-1.2579
4.2828,0.11942,0.23601,2.3607,3.6037,-1.5416
4.0312,-0.08677,0.084171,-1.2559,0.95025,1.9725
3.7043,-0.0023844,-0.016621,0.55865,0.81096,-2.2569
3.8177,0.1633,-0.090523,1.8134,0.66823,1.1197
3.769,0.031371,-0.035327,1.2565,2.2098,2.4019
4.8497,-0.26856,-0.0036729,-2.6495,0.52439,-0.27943
0,0,0,-2.9281,1.4498,0.9779
3.9135,-0.0037862,0.059042,-0.69616,4.7265,1.126
4.863,-0.024709,0.046782,-2.6499,5.1547,1.8199
3.7908,-0.040175,-0.039465,1.1147,4.726,1.6921
3.941,0.10187,0.011207,1.8059,1.0862,-0.14001
3.9415,0.010557,-0.078412,1.526,2.6294,1.2678
3.3987,-0.07488,0.07685,-0.5588,0,1.1176
3.5765,-0.10824,0.085723,-0.55878,0.53015,2.5408
3.138,0.1484,-0.051117,-1.1176,5.985,-0.69855
3.9308,0.055673,-0.015286,-1.4667E-07,4.3069,-0.4228
3.7764,-0.04688,0.054278,1.2545,4.4457,-1.9771
5.2582,-0.86935,-0.13806,2.9375,5.4373,0.97793
3.9828,0.04201,0.1719,1.9448,2.3515,-1.6886
5,0,0,-3.048,4.1626,-1.9571
4.1341,0.013504,0.016094,-1.2467,3.4669,0.56338
