U:0,U:1,U:2,Points:0,Points:1,Points:2
1.2667,-0.27293,2.2321,2.3696,0.0019437,19.999
4.985,-0.087328,0.17716,0.00085587,3.4103,19.999
4.9634,-0.33251,0.0033096,0.0024648,2.3696,19.998
1.4293,-0.39033,1.3332,1.4902,0.0038824,19.997
3.426,-0.49214,0.3505,0.0051555,1.4902,19.996
1.2714,-0.31275,0.56432,0.0072424,0.0052574,19.995
3.3308,-0.093646,7.4708,7.797,0.83628,19.169
3.1998,-0.063592,7.3169,8.8991,0.83629,19.169
3.0655,-0.043537,7.0262,10,0.83631,19.169
2.9293,-0.030766,6.6495,11.101,0.83633,19.169
4.9659,-0.0087338,0.95661,0.83629,7.7968,19.169
2.2254,0.0039336,2.2398,19.164,7.7989,19.169
4.9665,-0.0045803,0.96006,0.83629,8.899,19.169
2.2244,-0.00089231,2.2378,19.164,8.8997,19.169
2.2261,-0.0063232,2.2397,19.164,10,19.169
4.9667,-0.0022977,0.96242,0.83631,10,19.169
2.2308,-0.013124,2.2456,19.164,11.101,19.169
4.9665,-0.00084213,0.96464,0.83633,11.101,19.169
2.729,0.017179,6.2317,12.201,19.164,19.169
2.8745,0.030312,6.6555,11.1,19.164,19.169
3.016,0.046444,7.0257,10,19.164,19.169
3.1538,0.069366,7.3159,8.8996,19.164,19.169
3.2869,0.10231,7.4754,7.7989,19.164,19.169
3.4551,-0.13471,7.4057,6.6917,0.83631,19.168
3.5706,-0.18698,7.012,5.5785,0.83638,19.168
2.7919,-0.022152,6.2134,12.203,0.83639,19.168
2.6544,-0.015324,5.728,13.308,0.83656,19.168
4.9599,-0.033314,0.93687,0.83638,5.5766,19.168
2.235,0.014481,2.2568,19.164,5.5913,19.168
4.9641,-0.01679,0.95008,0.83631,6.6911,19.168
2.2287,0.0090994,2.2456,19.164,6.6968,19.168
2.2394,-0.022429,2.2569,19.164,12.203,19.168
4.9661,-1.9046E-05,0.96703,0.83639,12.203,19.168
2.2535,-0.036919,2.2755,19.163,13.307,19.168
4.9649,-0.00033952,0.96989,0.83657,13.308,19.168
2.2756,-0.060289,2.3061,19.163,14.419,19.168
4.9624,-0.0027906,0.97348,0.83708,14.42,19.168
3.532,0.1873,7.039,5.5913,19.163,19.168
2.4243,-0.015206,5.263,14.409,19.164,19.168
2.5793,0.0034402,5.7664,13.303,19.164,19.168
3.4129,0.1452,7.4205,6.6968,19.164,19.168
3.6758,-0.25196,6.1869,4.4486,0.83616,19.167
2.5195,-0.0085805,5.1929,14.42,0.83703,19.167
4.9453,-0.069205,0.91201,0.83615,4.4432,19.167
2.244,0.022089,2.2732,19.164,4.4775,19.167
3.6578,0.1944,6.2307,4.4776,19.163,19.167
2.2612,-0.046583,4.72,15.523,19.166,19.167
3.7022,-0.34009,4.8993,3.2857,0.83245,19.166
4.7256,-0.518,0.74774,0.81001,2.0281,19.166
4.9009,-0.17956,0.8712,0.83246,3.2721,19.166
2.3101,-0.10698,2.3581,19.162,15.548,19.166
4.9573,-0.018563,0.97665,0.83829,15.549,19.166
3.4414,-0.49332,3.2055,2.0575,0.80909,19.165
2.3907,-0.00049547,4.5984,15.55,0.83817,19.165
2.2599,0.031958,2.3044,19.167,3.345,19.165
3.7929,0.11299,4.9809,3.345,19.166,19.165
2.0913,-0.10909,4.135,16.656,19.173,19.165
3.8965,-0.034833,3.3573,2.1678,19.185,19.163
2.3544,-0.18974,2.4532,19.159,16.712,19.162
4.943,-0.029803,0.99283,0.84048,16.714,19.162
1.9001,-0.25873,3.5071,17.835,19.199,19.162
2.2857,0.012054,3.9276,16.715,0.84021,19.161
2.2747,0.043862,2.3343,19.187,2.1682,19.161
4.467,-0.34504,2.1695,2.0877,2.0828,19.156
4.8942,-0.20705,1.0062,0.84598,17.945,19.155
2.325,-0.42769,2.6148,19.154,17.946,19.155
2.2153,0.028234,3.1402,17.948,0.84572,19.154
4.6939,-0.15975,2.2852,2.1229,17.91,19.153
2.1418,-0.25693,3.3331,17.877,17.923,19.153
2.2236,0.036796,3.1161,17.912,2.1225,19.152
4.3185,-0.26671,3.8385,3.2936,2.0919,19.144
4.7509,-0.19675,2.1215,2.0926,3.2902,19.144
2.2235,0.030538,3.1181,17.906,3.3171,19.143
4.8294,0.014144,2.2126,2.1047,16.704,19.143
2.2121,-0.15227,3.235,17.895,16.711,19.143
4.4249,0.022639,3.8594,3.3173,17.905,19.143
2.2064,-0.13779,4.0585,16.683,17.914,19.143
3.8942,-0.77872,1.4035,0.72342,0.68421,19.142
2.2974,0.023295,3.9108,16.705,2.1044,19.142
3.0921,-0.053325,7.0075,10,2.0931,19.141
3.2489,-0.081154,7.2647,8.8986,2.0931,19.141
3.4217,-0.11895,7.3435,7.7962,2.0931,19.141
3.6188,-0.16389,7.133,6.6906,2.0931,19.141
3.8459,-0.20756,6.5032,5.5778,2.0931,19.141
2.9445,-0.03406,6.6438,11.101,2.0932,19.141
4.096,-0.23975,5.3763,4.45,2.0932,19.141
2.8019,-0.020422,6.2113,12.204,2.0933,19.141
2.6629,-0.0096929,5.7255,13.309,2.0936,19.141
4.8381,-0.11106,2.1254,2.0932,4.4484,19.141
4.8712,-0.063532,2.1409,2.0931,5.5771,19.141
4.8837,-0.037823,2.1543,2.093,6.6903,19.141
2.2217,0.0095436,3.0856,17.907,6.6939,19.141
4.8895,-0.021141,2.1614,2.0931,7.7961,19.141
2.221,0.0039238,3.0812,17.907,7.7977,19.141
4.892,-0.010871,2.1654,2.0931,8.8986,19.141
2.221,-0.0015111,3.0799,17.907,8.8993,19.141
4.8929,-0.0037499,2.1684,2.0931,9.9999,19.141
2.2218,-0.0077841,3.0817,17.907,10,19.141
2.2238,-0.015609,3.0871,17.907,11.101,19.141
4.8923,0.0021547,2.1716,2.0932,11.101,19.141
2.2269,-0.025875,3.0969,17.907,12.204,19.141
4.8906,0.0073259,2.175,2.0933,12.204,19.141
2.2309,-0.040691,3.1125,17.906,13.309,19.141
4.8868,0.011488,2.1788,2.0937,13.309,19.141
4.1213,0.15612,5.376,4.4636,17.906,19.141
2.6011,-0.0097657,5.7594,13.306,17.907,19.141
2.7479,0.011746,6.2286,12.202,17.907,19.141
2.8967,0.033018,6.6506,11.101,17.907,19.141
3.0494,0.057997,7.0091,10,17.907,19.141
3.2105,0.089884,7.2656,8.8992,17.907,19.141
3.3886,0.12943,7.3472,7.7976,17.907,19.141
3.5943,0.17055,7.139,6.6939,17.907,19.141
3.8373,0.19278,6.5065,5.5848,17.907,19.141
2.4567,-0.03612,5.247,14.415,17.908,19.141
2.5284,0.00011739,5.1883,14.421,2.0946,19.14
2.4021,0.010377,4.5902,15.549,2.0972,19.14
2.2234,0.02226,3.1044,17.906,4.4635,19.14
2.2226,0.015117,3.0938,17.907,5.5848,19.14
4.8791,0.013605,2.1834,2.0946,14.421,19.14
2.2342,-0.062273,3.1369,17.905,14.422,19.14
4.8625,0.00098424,2.1887,2.0974,15.548,19.14
2.2331,-0.098815,3.1745,17.902,15.551,19.14
2.3186,-0.074346,4.6854,15.536,17.91,19.14
4.5492,-0.21595,3.692,3.2922,3.2915,19.128
2.3094,0.024481,3.9088,16.707,3.3019,19.127
4.6152,0.091232,3.7194,3.3021,16.706,19.127
2.2673,-0.10898,4.0001,16.698,16.712,19.127
4.1558,-0.024896,1.5292,0.87628,19.293,19.125
1.7474,-0.52159,2.9334,19.125,19.302,19.124
3.504,-0.12446,7.3113,7.7954,3.2905,19.123
3.7365,-0.17035,7.0629,6.6894,3.2905,19.123
3.1332,-0.054359,7.006,9.9999,3.2906,19.123
3.3059,-0.084643,7.2537,8.8983,3.2906,19.123
2.9762,-0.032576,6.6454,11.102,3.2907,19.123
2.8283,-0.01679,6.213,12.204,3.2909,19.123
4.2877,-0.22898,5.2175,4.4479,3.2909,19.123
2.6864,-0.0045324,5.726,13.31,3.2913,19.123
2.4213,0.015456,4.5877,15.551,3.2951,19.123
4.6477,-0.14353,3.6488,3.291,4.4475,19.123
2.3188,0.018139,3.9007,16.708,4.4546,19.123
4.7125,-0.059918,3.6465,3.2905,6.6893,19.123
2.3267,0.007729,3.889,16.709,6.6916,19.123
4.7233,-0.034893,3.6487,3.2905,7.7954,19.123
2.328,0.0027456,3.8862,16.709,7.7966,19.123
4.7285,-0.01756,3.6504,3.2906,8.8982,19.123
2.3286,-0.0022374,3.8855,16.709,8.8988,19.123
4.7305,-0.00357,3.6525,3.2906,9.9999,19.123
2.3286,-0.0082156,3.8873,16.709,10,19.123
2.3284,-0.015759,3.8918,16.709,11.102,19.123
4.7291,0.0093277,3.6558,3.2907,11.102,19.123
2.3274,-0.025261,3.8998,16.709,12.204,19.123
4.7253,0.021988,3.6597,3.2909,12.204,19.123
2.3248,-0.038025,3.9123,16.709,13.31,19.123
4.7171,0.035231,3.6645,3.2913,13.31,19.123
4.6707,0.055393,3.6833,3.2952,15.551,19.123
2.3023,-0.079786,3.9586,16.705,15.553,19.123
4.3193,0.15965,5.2124,4.4546,16.708,19.123
2.9382,0.031283,6.6515,11.101,16.709,19.123
3.1005,0.059495,7.0072,10,16.709,19.123
3.2791,0.093513,7.2525,8.8987,16.709,19.123
3.4847,0.13234,7.3087,7.7965,16.709,19.123
3.7274,0.16835,7.0573,6.6916,16.709,19.123
2.6394,-0.016397,5.7527,13.308,16.71,19.123
2.7855,0.0069448,6.2273,12.203,16.71,19.123
2.3704,-0.071574,4.6533,15.545,16.711,19.123
4.0036,-0.21102,6.3825,5.5762,3.2906,19.122
2.55,0.0059145,5.187,14.423,3.2924,19.122
4.6917,-0.092045,3.6425,3.2906,5.5759,19.122
2.3238,0.012478,3.8943,16.709,5.5802,19.122
4.7021,0.04825,3.6711,3.2924,14.423,19.122
2.3177,-0.055013,3.931,16.707,14.424,19.122
4.01,0.18444,6.3729,5.5802,16.709,19.122
2.4997,-0.041621,5.2307,14.42,16.71,19.122
2.2845,0.048969,2.3771,19.294,0.87568,19.121
3.2266,-0.023996,7.0097,10,7.7945,19.12
3.4253,-0.033116,7.2468,8.8978,7.7945,19.12
3.0494,-0.0163,6.6515,11.102,7.7946,19.12
3.2337,-0.010704,7.0115,10,8.8978,19.12
3.4346,-0.014672,7.2481,8.8978,8.8978,19.12
3.6641,-0.019111,7.282,7.7945,8.8978,19.12
2.8904,-0.0056716,6.2181,12.205,8.8979,19.12
3.0544,-0.0077006,6.6531,11.102,8.8979,19.12
2.8898,-0.0011176,6.2188,12.205,10,19.12
3.0544,0.0012506,6.6537,11.102,10,19.12
3.2344,0.0032891,7.0119,10,10,19.12
3.4362,0.0046407,7.2483,8.8978,10,19.12
3.6667,0.0048979,7.2818,7.7945,10,19.12
2.8853,0.002551,6.2193,12.205,11.102,19.12
3.0494,0.0093566,6.6534,11.102,11.102,19.12
3.2291,0.016437,7.0111,10,11.102,19.12
3.4306,0.023127,7.2475,8.8978,11.102,19.12
3.6609,0.028153,7.2816,7.7946,11.102,19.12
3.0396,0.01688,6.6527,11.102,12.206,19.12
3.2182,0.028927,7.0098,10,12.206,19.12
3.4188,0.040939,7.2462,8.8979,12.206,19.12
3.2141,-0.03645,7.0079,10,6.6882,19.119
3.4095,-0.051151,7.2458,8.8978,6.6882,19.119
3.6343,-0.066668,7.283,7.7946,6.6882,19.119
3.0398,-0.024126,6.6496,11.102,6.6883,19.119
2.8798,-0.014383,6.2155,12.205,6.6885,19.119
3.653,-0.042457,7.2819,7.7945,7.7945,19.119
3.9121,-0.049603,7.0007,6.6882,7.7946,19.119
2.8869,-0.010284,6.2168,12.205,7.7947,19.119
2.7347,-0.0056965,5.7252,13.312,7.795,19.119
3.924,-0.022884,6.9991,6.6882,8.8978,19.119
2.7371,-0.0043852,5.7261,13.312,8.8981,19.119
2.7362,-0.0035295,5.7271,13.312,10,19.119
3.9272,0.0037533,6.9987,6.6882,10,19.119
2.7323,-0.0036699,5.7285,13.312,11.102,19.119
3.9219,0.029742,6.9994,6.6883,11.102,19.119
2.7248,-0.004433,5.7305,13.311,12.205,19.119
2.8767,0.0056707,6.2198,12.205,12.205,19.119
3.6489,0.050923,7.2813,7.7947,12.205,19.119
3.9106,0.055682,7.0007,6.6885,12.205,19.119
2.8635,0.0081328,6.2205,12.205,13.312,19.119
3.0248,0.023804,6.6517,11.102,13.312,19.119
3.2014,0.040947,7.008,10,13.312,19.119
3.4002,0.058713,7.2447,8.898,13.312,19.119
3.629,0.074552,7.2813,7.7949,13.312,19.119
3.3499,-0.078654,7.2463,8.898,4.4462,19.118
3.5615,-0.10948,7.2926,7.795,4.4462,19.118
3.8094,-0.14094,7.0264,6.6888,4.4462,19.118
3.1671,-0.053014,7.0042,10,4.4463,19.118
3.003,-0.033267,6.6455,11.102,4.4464,19.118
2.8507,-0.018322,6.213,12.205,4.4466,19.118
4.3828,-0.1648,5.1547,4.4468,4.4467,19.118
2.706,-0.0066223,5.7247,13.311,4.447,19.118
2.436,0.011182,4.5825,15.553,4.45,19.118
3.1942,-0.046716,7.0059,10,5.5747,19.118
3.3844,-0.067114,7.2454,8.8979,5.5747,19.118
3.6042,-0.08973,7.286,7.7947,5.5747,19.118
3.859,-0.11007,7.0117,6.6884,5.5747,19.118
3.0243,-0.03013,6.6476,11.102,5.5748,19.118
2.8676,-0.017218,6.2142,12.205,5.575,19.118
2.7197,-0.0071201,5.7245,13.311,5.5754,19.118
3.8922,-0.079463,7.0044,6.6883,6.6883,19.118
4.1747,-0.084409,6.2963,5.5747,6.6884,19.118
