U:0,U:1,U:2,Points:0,Points:1,Points:2
0.0,0.0,0.0,13.348,0.91437,0
0.0,0.0,0.0,13.826,0.91437,0
0.0,0.0,0.0,14.304,0.91437,0
0.0,0.0,0.0,14.783,0.91437,0
0.0,0.0,0.0,15.261,0.91437,0
0.0,0.0,0.0,15.739,0.91437,0
0.0,0.0,0.0,2.8259,0.91438,0
0.0,0.0,0.0,17.174,0.91438,0
0.0,0.0,0.0,2.347,0.91444,0
0.0,0.0,0.0,17.653,0.91444,0
0.0,0.0,0.0,1.867,0.91471,0
0.0,0.0,0.0,18.133,0.91471,0
0.0,0.0,0.0,1.3873,0.91574,0
0.0,0.0,0.0,18.613,0.91574,0
0.0,0.0,0.0,0.91956,0.9191,0
0.0,0.0,0.0,19.08,0.91911,0
0.0,0.0,0.0,0.49629,0.92757,0
0.0,0.0,0.0,19.504,0.92758,0
-0.391575,0.586375,-0.065675,0.1,0.94329,0
0.46735,0.23573,0.503275,19.9,0.94329,0
0.0,0.0,0.0,2.3468,1.3849,0
0.0,0.0,0.0,2.8258,1.3849,0
0.0,0.0,0.0,3.3043,1.3849,0
0.0,0.0,0.0,3.7826,1.3849,0
0.0,0.0,0.0,4.2609,1.3849,0
0.0,0.0,0.0,4.7391,1.3849,0
0.0,0.0,0.0,5.2174,1.3849,0
0.0,0.0,0.0,5.6957,1.3849,0
0.0,0.0,0.0,6.1739,1.3849,0
0.0,0.0,0.0,6.6522,1.3849,0
0.0,0.0,0.0,7.1304,1.3849,0
0.0,0.0,0.0,7.6087,1.3849,0
0.0,0.0,0.0,8.087,1.3849,0
0.0,0.0,0.0,8.5652,1.3849,0
0.0,0.0,0.0,9.0435,1.3849,0
0.0,0.0,0.0,9.5217,1.3849,0
0.0,0.0,0.0,10,1.3849,0
0.0,0.0,0.0,10.478,1.3849,0
0.0,0.0,0.0,10.957,1.3849,0
0.0,0.0,0.0,11.435,1.3849,0
0.0,0.0,0.0,11.913,1.3849,0
0.0,0.0,0.0,12.391,1.3849,0
0.0,0.0,0.0,12.87,1.3849,0
0.0,0.0,0.0,13.348,1.3849,0
0.0,0.0,0.0,13.826,1.3849,0
0.0,0.0,0.0,14.304,1.3849,0
0.0,0.0,0.0,14.783,1.3849,0
0.0,0.0,0.0,15.261,1.3849,0
0.0,0.0,0.0,15.739,1.3849,0
0.0,0.0,0.0,16.217,1.3849,0
0.0,0.0,0.0,16.696,1.3849,0
0.0,0.0,0.0,17.174,1.3849,0
0.0,0.0,0.0,17.653,1.3849,0
0.0,0.0,0.0,1.8664,1.385,0
0.0,0.0,0.0,18.134,1.385,0
0.0,0.0,0.0,1.3856,1.3855,0
0.0,0.0,0.0,18.614,1.3855,0
0.0,0.0,0.0,0.91591,1.3871,0
0.0,0.0,0.0,19.084,1.3871,0
0.0,0.0,0.0,0.49078,1.3905,0
0.0,0.0,0.0,19.509,1.3905,0
-0.288175,0.47455,-0.2014425,0.1,1.3958,0
0.55545,0.1977875,0.5525,19.9,1.3958,0
0.0,0.0,0.0,2.3467,1.8661,0
0.0,0.0,0.0,2.8258,1.8661,0
0.0,0.0,0.0,3.3043,1.8661,0
0.0,0.0,0.0,3.7826,1.8661,0
0.0,0.0,0.0,4.2609,1.8661,0
0.0,0.0,0.0,4.7391,1.8661,0
0.0,0.0,0.0,5.2174,1.8661,0
0.0,0.0,0.0,5.6957,1.8661,0
0.0,0.0,0.0,6.1739,1.8661,0
0.0,0.0,0.0,6.6522,1.8661,0
0.0,0.0,0.0,7.1304,1.8661,0
0.0,0.0,0.0,7.6087,1.8661,0
0.0,0.0,0.0,8.087,1.8661,0
0.0,0.0,0.0,8.5652,1.8661,0
0.0,0.0,0.0,9.0435,1.8661,0
0.0,0.0,0.0,9.5217,1.8661,0
0.0,0.0,0.0,10,1.8661,0
0.0,0.0,0.0,10.478,1.8661,0
0.0,0.0,0.0,10.957,1.8661,0
0.0,0.0,0.0,11.435,1.8661,0
0.0,0.0,0.0,11.913,1.8661,0
0.0,0.0,0.0,12.391,1.8661,0
0.0,0.0,0.0,12.87,1.8661,0
0.0,0.0,0.0,13.348,1.8661,0
0.0,0.0,0.0,13.826,1.8661,0
0.0,0.0,0.0,14.304,1.8661,0
0.0,0.0,0.0,14.783,1.8661,0
0.0,0.0,0.0,15.261,1.8661,0
0.0,0.0,0.0,15.739,1.8661,0
0.0,0.0,0.0,16.217,1.8661,0
0.0,0.0,0.0,16.696,1.8661,0
0.0,0.0,0.0,17.174,1.8661,0
0.0,0.0,0.0,17.653,1.8661,0
0.0,0.0,0.0,1.8662,1.8662,0
0.0,0.0,0.0,18.134,1.8662,0
0.0,0.0,0.0,1.385,1.8663,0
0.0,0.0,0.0,18.615,1.8663,0
0.0,0.0,0.0,0.91475,1.8669,0
0.0,0.0,0.0,19.085,1.8669,0
0.0,0.0,0.0,0.48906,1.8681,0
0.0,0.0,0.0,19.511,1.8681,0
-0.2271575,0.423325,-0.37215,0.1,1.8699,0
0.610575,0.1638575,0.536,19.9,1.8699,0
0.0,0.0,0.0,1.8661,2.3467,0
0.0,0.0,0.0,2.3467,2.3467,0
